Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR8335120_1	SRR8335120_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17495740.0	0.0	35-76	45.0	51.23801231208718	75.26627110370868	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
SRR8335120_2	SRR8335120_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17495740.0	0.0	35-76	45.0	48.839996883528904	75.23467032546209	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR8335121_1	SRR8335121_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18126136.0	0.0	35-76	45.0	46.67340132928716	75.2699236064432	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR8335121_2	SRR8335121_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18126136.0	0.0	35-76	45.0	46.200587847542835	75.24278721068848	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR8335122_1	SRR8335122_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17649279.0	0.0	35-76	45.0	48.611066927997335	75.32443370632873	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR8335122_2	SRR8335122_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17649279.0	0.0	35-76	45.0	47.52040654498895	75.29964867120067	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR8335123_1	SRR8335123_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16257030.0	0.0	35-76	45.0	48.986383686809035	75.20291369333759	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR8335123_2	SRR8335123_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16257030.0	0.0	35-76	45.0	46.242252971402024	75.17704697598516	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR8335124_1	SRR8335124_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16355466.0	0.0	35-76	44.0	51.161524072517814	75.28643194880537	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
SRR8335124_2	SRR8335124_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16355466.0	0.0	35-76	45.0	50.06000793902358	75.25876706906425	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR8335125_1	SRR8335125_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17931145.0	0.0	35-76	44.0	46.81769541337888	75.15129803478807	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
SRR8335125_2	SRR8335125_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17931145.0	0.0	35-76	45.0	46.50547341180331	75.13022503582454	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
